sep=,
Text,Date,LikesCount,RepostCount,URLs
"10 фактов про пластик, которые вы должны знать   ? Среднее время использования одноразового пластикового пакета — 12 минут.   ??Начиная с 1950-х годов человечество произвело 8,3 миллиардов тонн пластика. Только 9% из этой массы отправились на переработку.   ?? Практически каждый кусочек произведенного пластика до сих пор где-то существует.   ?? Если разделить 8 миллиардов тонн на количество жителей планеты, то получится, что на каждого из нас приходится персональная тонна пластикового мусора.   ?? Каждый год 1 миллион морских птиц и 100 тысяч морских млекопитающих погибают из-за пластика.   ?? В мире есть страны, где использование пластика карается законом. Самый строгий запрет действует в Кении: производство, продажа и использование пластиковых пакетов может обернуться тюремным сроком.   ?? В среднем человек съедает 5 граммов пластика каждую неделю. Столько же весит кредитная карта.   ?? Королева Елизавета Вторая запретила использовать пластиковые бутылки и соломинки на территории Букингемского дворца.   ?? Тайский супермаркет в Чиангмае вместо пластиковой плёнки стал использовать банановые листья для упаковки салата, зелени и брокколи. Получилось у одного — получится у остальных.   ?? Ежегодно в океан попадает 12 миллионов тонн пластика. Представьте: каждую минуту полтора грузовика сбрасывают пластиковый мусор в открытое море. Это происходит каждый день — и остановить поток можем только мы с вами.   Сегодня по всему миру стартует Plastic free july — «Июль без пластика».   Организаторы предлагают выбрать одну пластиковую вещь, отказаться от неё на месяц, рассказать об этом в соцсетях и бросить вызов друзьям.   Если кажется, что отказ от одной пластиковой вещи ничего не изменит, отказывайтесь от большего числа!   Это не перекладывание ответственности, но от нашего поведения зависит многое, ведь свалки складываются из пакетиков и упаковки, которые мы приносим из магазина.   Присоединяйтесь к июлю без пластика. Вот хештеги:   #окаянныйпластик #июльбезпластика #порвиспакетом и международный #plasticfreejuly",01 07 2019 8:00:09,1127,433,https://sun3-2.userapi.com/c850416/v850416961/7eaf0/vX6VI7_2Yvk.jpg
"?Как оставаться экологичной во время месячных?  ???? Что такое многоразовые прокладки и зачем они нужны, читайте на нашем сайте https://act.gp/2IWwDMF",29 06 2019 13:00:07,161,17,
"""Я рекомендую, чтобы российское правительство включило международных специалистов и российских наблюдателей. Я хочу еще раз заявить, что я и наша международная команда готовы оказать любую посильную помощь.   Я помню, когда я был в Москве, министр природных ресурсов Дмитрий Кобылкин прямо сказал нам, что мы все должны быть частью единой команды, чтобы довести этот выпуск до его успешного завершения.""",29 06 2019 11:00:04,241,24,
"Публикуем мнение доктора биологических наук, старшей сотрудницы кафедры зоологии и позвоночных биологического факультета МГУ Ольги Филатовой о выпуске первых животных из ""китовой тюрьмы"".   ""Сегодня ВНИРО отчиталось о выпуске первых двух косаток. Демонстративно наплевав на рекомендации экспертов, животных отправили прямо в море после 6 дней транспортировки в тесных контейнерах.    Несколько часов после выпуска косатки держались возле берега, возможно, потому, что после такой длительной неподвижности им нужно время, чтобы прийти в себя и начать нормально плавать. По-хорошему, их нужно было бы подержать в вольере на месте до прибытия всех остальных, во-первых, чтобы выпустить всех вместе, во-вторых, чтобы дать им время адаптироваться после транспортировки. Но сделали как сделали. Смогут ли выжить на свободе косатки, прожившие почти год в неволе, ослабленные почти неделей перевозки и голодовки, да еще и с повреждениями в виде дырок на плавниках для установки спутниковых меток, - большой вопрос. Я все-таки надеюсь, что да.    Из положительных моментов – по крайней мере одна из этих косаток достаточно взрослая, чтобы самостоятельно охотиться. Кого именно выпустили, мы не знаем, так как ни одного подходящего для идентификации фото не опубликовано. Но во втором вольере, откуда их забрали, трое из четверых косаток были уже довольно большими подростками возраста около 4-5 лет. И даже если вторая косатка – младшая из четверых, то вдвоем со старшей у нее есть шанс начать охотиться.   А вот у оставшихся перспективы менее радужные, особенно у двух малышей из первого вольера. Если их отпустят вдвоем, без старших, то совершенно не факт, что они смогут вернуться к самостоятельной жизни. Именно поэтому мы настаивали на том, что всех десятерых нужно выпускать одновременно, чтобы младшие не остались одни.    Как минимум три старших косатки в Средней еще остались, так что шансы есть, но похоже, что люди, руководящие выпуском, не очень-то стремятся их использовать.  Ниже – видео, которое опубликовал телеграм-канал «Зелёный змий». На нем видно, как выпущенные косатки раздраженно бьют хвостами, похоже, пытаясь стряхнуть с себя спутниковые метки.""",28 06 2019 15:00:10,441,71,https://pp.userapi.com/c855320/v855320163/8058c/ZlRuGANAsps.jpg
"?? Наплыв желающих провести время на свежем воздухе превращает теплые выходные в настоящее испытание для природы. Отдых в лесу или на даче может закончиться пожаром от непотушенного костра.    Чтобы ничего не загорелось, следуйте простым правилам:    <> Перед тем, как развести костёр, очистите участок от сухой травы, листьев и хвои. Окопайте или обложите камнями костровище, чтобы огонь случайно не распространился за пределы очага.    <> Собирайте хворост или валежник, а не рубите древесину для костра. Рубить лес, даже стоящий сухостой, без специального разрешения противозаконно. Храните собранное с подветренной стороны, подальше от огня.    <> Не бросайте окурки. Они тоже могут стать причиной пожара. Если курят ваши знакомые, попросите их не бросать окурки. Используйте пепельницу. Даже импровизированную.    <> Тушите костёр правильно. Для этого пригодится правило трех П: костёр нужно пролить водой, перемешать и проверить. Если костёр ещё слишком горячий, чтобы прикоснуться к нему, уходить рано. Повторите правило трёх П.    <> Увидите брошенный непотушенный костёр - потушите его. Используйте правило трёх П.    <> Мангал - удобнее костра. Можно купить угли и не искать хворост. Однако перед установкой мангала сухую листву тоже необходимо убрать. Тушить по правилам трёх П. Вытряхнуть угли на землю и уехать нельзя.    <> Газовая горелка - самый безопасный вариант. И еду приготовите, и не станете причиной пожара.    ?? Увидите пожар - звоните 8 800 100 94 00 (номер лесной охраны) или 112.    ?? Делитесь этим постом с друзьями.    ?? Помните, каждый может остановить огонь.  ?? Присоединяйтесь к нашей противопожарной кампании: https://act.gp/vk-fire-2806-01 ??  #остановиогонь",28 06 2019 10:00:00,112,20,
"?? Первые 2 косатки и 6 белух из «китовой тюрьмы» в бухте Средняя обрели долгожданную свободу!    ?У нас остается много вопросов к транспортировке и выпуску животных. 7 дней животных везли из вольеров под Находкой до мыса Перовского в Охотском море, где, по данным ВНИРО, их наконец-то выпустили в море. К сожалению, к этому процессу не были привлечены независимые учёные, представители общественности и специалисты команды Кусто, а весь процесс происходил в режиме секретности.    ?? По мнению экспертов, спешный выпуск китообразных после 7 дней транспортировки в тесных контейнерах и без реабилитации на месте нарушает мировые стандарты проведения таких операций и рекомендации команды Кусто, серьёзно повышая риски травм и гибели животных. Мы очень надеемся, что киты смогут с этим справится и выжить в океане, к которому они так стремились все эти долгие месяцы. В «китовой тюрьме» остаются 8 косаток и 81 белуха из 97 китов, переживших эту зиму.   ???? Подробнее читайте на сайте https://act.gp/2KIJQL5    #свободукосаткам #freethewhales",27 06 2019 12:57:22,838,84,https://pp.userapi.com/c850236/v850236157/17f8bf/Wo3dw537PCU.jpg
"?Напоминаем, что 3-5 октября в национальном парке Валдайский (Новгородская область) отдел геоинформационных систем (ГИС) и исследований Гринпис совместно с другими природоохранными и научными организациями проводит международную конференцию Сообщества природоохранных ГИС. Регистрация закрывается 30 июня. Успейте подать заявку!    ???>???+ Если среди вас есть те, кто хотел бы больше узнать про использование ГИС-технологий и космических снимков в охране природы, имеет опыт такой работы или хотел бы научиться – мы с радостью приглашаем на конференцию! В этом году впервые на конференции запланирована школьная секция. ?? Поэтому если Вы знаете школьников старших классов или студентов, которые выполняли исследовательские работы в области охраны природы с применением ГИС, космических снимков или карт – пригласите их на конференцию, пожалуйста, тоже.   ???? Регистрация и подробности на сайте конференции http://scgisrussia.ru/.",27 06 2019 7:00:03,51,4,
"Накрыть тарелку с едой, прежде чем поставить в холодильник, завернуть недоеденное яблоко, сыр, кусок сливочного масла или бутерброд – справляются ли с этим восковые салфетки и смогут ли они заменить пищевую пленку? Как сделать экологичную упаковку в домашних условиях и как долго она прослужит?    ???? Смотрите в нашем видео https://www.youtube.com/watch?v=cB6l22nCswc",26 06 2019 17:00:07,166,32,https://pp.userapi.com/c858216/v858216426/7f6/RPu3vVJYy1A.jpg
"Вчера Роспотребнадзор сообщил, что качество грузинского вина ухудшилось и заявил об усилении контроля за ним. Однако, на наш взгляд, проблема загрязнённого воздуха для России более актуальна, чем некачественное вино — ежегодно от последствий загрязнения воздуха людей умирает больше, чем от туберкулёза, малярии и СПИДа.  Раз ведомство способно проявлять оперативное реагирование, мы продолжаем добиваться от него решительных действий по решению этой проблемы. А вы, тем временем, с помощью нашего чек-листа можете узнать, загрязнён ли в вашем районе воздух, и в случае положительного ответа, заполнить жалобу в Роспотребнадзор через простую форму. Этим самым вы поможете нам привлечь внимание ведомства к проблеме загрязнения воздуха и необходимости оперативно реагировать на жалобы граждан: https://act.gp/2105_vk_cheklist",25 06 2019 15:00:43,317,27,https://pp.userapi.com/c7004/v7004703/63ca5/EwtUEOytFqg.jpg
"?? Ситуация с транспортировкой косаток и белух такая.  ?  В день прямой линии с президентом (совпадение?) началась операция. Вывезли 2 Косаток и 6 белух.??  ?  Вчера судно с косатками и белухами прибыло в Иннокентьевку, там животных перегрузят с судна на машины и везут на побережье Охотского моря.??  ?  Там находится база Восточного рыбокомбината, где подготовлены вольеры. В этих вольерах животных осмотрят, проверят, как они перенесли транспортировку, и при необходимости окажут медицинскую помощь. Так же продолжат процесс ре-адаптации, то есть отучения животных от человека. После этого животных будут выпускать.  ?  Вместе с Коалицией мы следим, чтобы все животные доехали живыми и здоровыми. К сожалению, вся операция проходит без участия общественности.  ?  Мы ищем варианты и возможности, чтобы убедиться и снять фото и видео выпуска животных.#свободукосаткам #freethewhales",25 06 2019 11:00:08,949,83,https://pp.userapi.com/c855020/v855020187/7a468/2DylzYrvKQY.jpg
